kelurahanid,subdistrictname,kelurahanname,recordstatus
8095,POASIA,POASIA,1
8096,BINONGKO,BINONGKO,1
8097,KALEDUPA,KALEDUPA,1
8098,TOMIA,TOMIA,1
8099,WANGI-WANGI,WANGI-WANGI,1
8100,BITUNG SELATAN,BITUNG SELATAN,1
8101,BITUNG SELATAN,BITUNG SELATAN,1
8102,BITUNG SELATAN,BITUNG SELATAN,1
8103,BITUNG SELATAN,BITUNG SELATAN,1
8104,BITUNG SELATAN,BITUNG SELATAN,1
8105,BITUNG SELATAN,BITUNG SELATAN,1
8106,BITUNG SELATAN,BITUNG SELATAN,1
8107,BITUNG SELATAN,BITUNG SELATAN,1
8108,BITUNG SELATAN,BITUNG SELATAN,1
8109,BITUNG SELATAN,BITUNG SELATAN,1
8110,BITUNG SELATAN,BITUNG SELATAN,1
8111,BITUNG TENGAH,BITUNG TENGAH,1
8112,BITUNG TENGAH,BITUNG TENGAH,1
8113,BITUNG TENGAH,BITUNG TENGAH,1
8114,BITUNG TENGAH,BITUNG TENGAH,1
8115,BITUNG TENGAH,BITUNG TENGAH,1
8116,BITUNG TENGAH,BITUNG TENGAH,1
8117,BITUNG TENGAH,BITUNG TENGAH,1
8118,BITUNG TENGAH,BITUNG TENGAH,1
8119,BITUNG TENGAH,BITUNG TENGAH,1
8120,BITUNG TENGAH,BITUNG TENGAH,1
8121,BITUNG TENGAH,BITUNG TENGAH,1
8122,BITUNG TENGAH,BITUNG TENGAH,1
8123,BITUNG TENGAH,BITUNG TENGAH,1
8124,BITUNG TENGAH,BITUNG TENGAH,1
8125,BITUNG TENGAH,BITUNG TENGAH,1
8126,BITUNG TENGAH,BITUNG TENGAH,1
8127,BITUNG TENGAH,BITUNG TENGAH,1
8128,BITUNG TENGAH,BITUNG TENGAH,1
8129,BITUNG TENGAH,BITUNG TENGAH,1
8130,BITUNG TENGAH,BITUNG TENGAH,1
8131,BITUNG TENGAH,BITUNG TENGAH,1
8132,BITUNG UTARA,BITUNG UTARA,1
8133,BITUNG UTARA,BITUNG UTARA,1
8134,BINTAUNA,BINTAUNA,1
8135,BOLAANG,BOLAANG,1
8136,BOLAANG ITANG,BOLAANG ITANG,1
8137,BOLANG-UKI,BOLANG-UKI,1
8138,DUMOGA,DUMOGA,1
8139,KAIDIPANG,KAIDIPANG,1
8140,KOTABUNAN,KOTABUNAN,1
8141,KOTAMOBAGU,KOTAMOBAGU,1
8142,KOTAMOBAGU,KOTAMOBAGU,1
8143,KOTAMOBAGU,KOTAMOBAGU,1
8144,KOTAMOBAGU,KOTAMOBAGU,1
8145,KOTAMOBAGU,KOTAMOBAGU,1
8146,KOTAMOBAGU,KOTAMOBAGU,1
8147,KOTAMOBAGU,KOTAMOBAGU,1
8148,KOTAMOBAGU,KOTAMOBAGU,1
8149,KOTAMOBAGU,KOTAMOBAGU,1
8150,KOTAMOBAGU,KOTAMOBAGU,1
8151,LOLAK,LOLAK,1
8152,LOLAYAN,LOLAYAN,1
8153,MODAYAG,MODAYAG,1
8154,PASSI,PASSI,1
8155,PINOLOSIAN,PINOLOSIAN,1
8156,POIGAR,POIGAR,1
8157,SANGTOMBOLANG,SANGTOMBOLANG,1
8158,BUNAKEN,BUNAKEN,1
8159,BUNAKEN,BUNAKEN,1
8160,BUNAKEN,BUNAKEN,1
8161,BUNAKEN,BUNAKEN,1
8162,BUNAKEN,BUNAKEN,1
8163,MALALAYANG,MALALAYANG,1
8164,MALALAYANG,MALALAYANG,1
8165,MALALAYANG,MALALAYANG,1
8166,MALALAYANG,MALALAYANG,1
